country,iso3,who.region,resource,unit_cost,cost.m,cost.sd
Cyprus,CYP,EUR,Household visit,c_hh_visit,4.4,1.1
Czechia,CZE,EUR,Household visit,c_hh_visit,3.53,0.88
Democratic People's Republic of Korea,PRK,SEA,Household visit,c_hh_visit,4.51,1.13
Democratic Republic of the Congo,COD,AFR,Household visit,c_hh_visit,3.27,0.82
Denmark,DNK,EUR,Household visit,c_hh_visit,6.45,1.61
Djibouti,DJI,EMR,Household visit,c_hh_visit,3.82,0.95
Dominica,DMA,AMR,Household visit,c_hh_visit,4.21,1.05
Dominican Republic,DOM,AMR,Household visit,c_hh_visit,2.78,0.7
Ecuador,ECU,AMR,Household visit,c_hh_visit,3.36,0.84
Egypt,EGY,EMR,Household visit,c_hh_visit,1.59,0.4
El Salvador,SLV,AMR,Household visit,c_hh_visit,2.95,0.74
Equatorial Guinea,GNQ,AFR,Household visit,c_hh_visit,2.71,0.68
Eritrea,ERI,AFR,Household visit,c_hh_visit,2.34,0.59
Estonia,EST,EUR,Household visit,c_hh_visit,3.95,0.99
Eswatini,SWZ,AFR,Household visit,c_hh_visit,2.79,0.7
Ethiopia,ETH,AFR,Household visit,c_hh_visit,2.38,0.6
Fiji,FJI,WPR,Household visit,c_hh_visit,2.79,0.7
Finland,FIN,EUR,Household visit,c_hh_visit,6.1,1.53
France,FRA,EUR,Household visit,c_hh_visit,5.28,1.32
French Polynesia,PYF,WPR,Household visit,c_hh_visit,5.28,1.32
Gabon,GAB,AFR,Household visit,c_hh_visit,3.21,0.8
Gambia,GMB,AFR,Household visit,c_hh_visit,2.16,0.54
Georgia,GEO,EUR,Household visit,c_hh_visit,1.94,0.48
Germany,DEU,EUR,Household visit,c_hh_visit,5.37,1.34
Ghana,GHA,AFR,Household visit,c_hh_visit,2.52,0.63
Greece,GRC,EUR,Household visit,c_hh_visit,4.01,1
Greenland,GRL,EUR,Household visit,c_hh_visit,4.01,1
Grenada,GRD,AMR,Household visit,c_hh_visit,3.92,0.98
Guam,GUM,WPR,Household visit,c_hh_visit,3.92,0.98
Guatemala,GTM,AMR,Household visit,c_hh_visit,3.31,0.83
Guinea,GIN,AFR,Household visit,c_hh_visit,2.32,0.58
Guinea-Bissau,GNB,AFR,Household visit,c_hh_visit,2.17,0.54
Guyana,GUY,AMR,Household visit,c_hh_visit,3.13,0.78
Haiti,HTI,AMR,Household visit,c_hh_visit,2.71,0.68
Honduras,HND,AMR,Household visit,c_hh_visit,2.78,0.7
Hungary,HUN,EUR,Household visit,c_hh_visit,3.18,0.8
Iceland,ISL,EUR,Household visit,c_hh_visit,7.41,1.85
India,IND,SEA,Household visit,c_hh_visit,1.94,0.48
Indonesia,IDN,SEA,Household visit,c_hh_visit,2.17,0.54
Iran (Islamic Republic of),IRN,EMR,Household visit,c_hh_visit,2.6,0.65
Iraq,IRQ,EMR,Household visit,c_hh_visit,3.39,0.85
Ireland,IRL,EUR,Household visit,c_hh_visit,5.84,1.46
Israel,ISR,EUR,Household visit,c_hh_visit,6.71,1.68
Italy,ITA,EUR,Household visit,c_hh_visit,4.84,1.21
Jamaica,JAM,AMR,Household visit,c_hh_visit,3.54,0.88
Japan,JPN,WPR,Household visit,c_hh_visit,6.14,1.54
Jordan,JOR,EMR,Household visit,c_hh_visit,2.71,0.68
Kazakhstan,KAZ,EUR,Household visit,c_hh_visit,2.3,0.58
Kenya,KEN,AFR,Household visit,c_hh_visit,2.6,0.65
Kiribati,KIR,WPR,Household visit,c_hh_visit,4.51,1.13
Kuwait,KWT,EMR,Household visit,c_hh_visit,3.97,0.99
Kyrgyzstan,KGZ,EUR,Household visit,c_hh_visit,1.54,0.39
Lao People's Democratic Republic,LAO,WPR,Household visit,c_hh_visit,2,0.5
Latvia,LVA,EUR,Household visit,c_hh_visit,3.59,0.9
Lebanon,LBN,EMR,Household visit,c_hh_visit,3.22,0.81
Lesotho,LSO,AFR,Household visit,c_hh_visit,2.56,0.64
Liberia,LBR,AFR,Household visit,c_hh_visit,2.69,0.67
Libya,LBY,EMR,Household visit,c_hh_visit,3.13,0.78
Lithuania,LTU,EUR,Household visit,c_hh_visit,3.26,0.81
Luxembourg,LUX,EUR,Household visit,c_hh_visit,6.13,1.53
Madagascar,MDG,AFR,Household visit,c_hh_visit,1.97,0.49
Malawi,MWI,AFR,Household visit,c_hh_visit,2.4,0.6
Malaysia,MYS,WPR,Household visit,c_hh_visit,2.49,0.62
Maldives,MDV,SEA,Household visit,c_hh_visit,3.37,0.84
Mali,MLI,AFR,Household visit,c_hh_visit,2.34,0.59
Malta,MLT,EUR,Household visit,c_hh_visit,4.17,1.04
Marshall Islands,MHL,WPR,Household visit,c_hh_visit,6.14,1.54
Mauritania,MRT,AFR,Household visit,c_hh_visit,2,0.5
Mauritius,MUS,AFR,Household visit,c_hh_visit,3,0.75
Mexico,MEX,AMR,Household visit,c_hh_visit,3.14,0.79
Micronesia (Federated States of),FSM,WPR,Household visit,c_hh_visit,6.5,1.62
Monaco,MCO,EUR,Household visit,c_hh_visit,2.14,0.53
Mongolia,MNG,WPR,Household visit,c_hh_visit,2.18,0.54
Montenegro,MNE,EUR,Household visit,c_hh_visit,2.47,0.62
Montserrat,MSR,AMR,Household visit,c_hh_visit,6.46,1.62
Morocco,MAR,EMR,Household visit,c_hh_visit,2.65,0.66
Mozambique,MOZ,AFR,Household visit,c_hh_visit,2.43,0.61
Myanmar,MMR,SEA,Household visit,c_hh_visit,1.69,0.42
Namibia,NAM,AFR,Household visit,c_hh_visit,3.18,0.8
Nauru,NRU,WPR,Household visit,c_hh_visit,5.02,1.25
Nepal,NPL,SEA,Household visit,c_hh_visit,1.94,0.48
Netherlands,NLD,EUR,Household visit,c_hh_visit,5.68,1.42
New Caledonia,NCL,WPR,Household visit,c_hh_visit,5.68,1.42
New Zealand,NZL,WPR,Household visit,c_hh_visit,6.13,1.53
Nicaragua,NIC,AMR,Household visit,c_hh_visit,2.19,0.55
Niger,NER,AFR,Household visit,c_hh_visit,2.8,0.7
Nigeria,NGA,AFR,Household visit,c_hh_visit,2.69,0.67
Niue,NIU,WPR,Household visit,c_hh_visit,6.46,1.62
North Macedonia,MKD,EUR,Household visit,c_hh_visit,2.21,0.55
Northern Mariana Islands,MNP,WPR,Household visit,c_hh_visit,2.21,0.55
Norway,NOR,EUR,Household visit,c_hh_visit,7.17,1.79
Oman,OMN,EMR,Household visit,c_hh_visit,3.48,0.87
Pakistan,PAK,EMR,Household visit,c_hh_visit,1.69,0.42
Palau,PLW,WPR,Household visit,c_hh_visit,5.24,1.31
Panama,PAN,AMR,Household visit,c_hh_visit,3.09,0.77
Papua New Guinea,PNG,WPR,Household visit,c_hh_visit,4.02,1
Paraguay,PRY,AMR,Household visit,c_hh_visit,2.64,0.66
Peru,PER,AMR,Household visit,c_hh_visit,3.36,0.84
Philippines,PHL,WPR,Household visit,c_hh_visit,2.42,0.61
Poland,POL,EUR,Household visit,c_hh_visit,2.97,0.74
Portugal,PRT,EUR,Household visit,c_hh_visit,4.08,1.02
Puerto Rico,PRI,AMR,Household visit,c_hh_visit,5.89,1.47
Qatar,QAT,EMR,Household visit,c_hh_visit,4.27,1.07
Republic of Korea,KOR,WPR,Household visit,c_hh_visit,4.82,1.2
Republic of Moldova,MDA,EUR,Household visit,c_hh_visit,2.14,0.53
Romania,ROU,EUR,Household visit,c_hh_visit,2.58,0.64
Russian Federation,RUS,EUR,Household visit,c_hh_visit,2.54,0.64
Rwanda,RWA,AFR,Household visit,c_hh_visit,2.28,0.57
Saint Kitts and Nevis,KNA,AMR,Household visit,c_hh_visit,4.66,1.17
Saint Lucia,LCA,AMR,Household visit,c_hh_visit,4.65,1.16
Saint Vincent and the Grenadines,VCT,AMR,Household visit,c_hh_visit,3.7,0.92
Samoa,WSM,WPR,Household visit,c_hh_visit,4.1,1.03
San Marino,SMR,EUR,Household visit,c_hh_visit,5.2,1.3
Sao Tome and Principe,STP,AFR,Household visit,c_hh_visit,3.03,0.76
Saudi Arabia,SAU,EMR,Household visit,c_hh_visit,3.05,0.76
Senegal,SEN,AFR,Household visit,c_hh_visit,2.64,0.66
Serbia,SRB,EUR,Household visit,c_hh_visit,2.53,0.63
Seychelles,SYC,AFR,Household visit,c_hh_visit,3.69,0.92
Sierra Leone,SLE,AFR,Household visit,c_hh_visit,1.9,0.47
Singapore,SGP,WPR,Household visit,c_hh_visit,4.15,1.04
Sint Maarten (Dutch part),SXM,AMR,Household visit,c_hh_visit,5.2,1.3
Slovakia,SVK,EUR,Household visit,c_hh_visit,3.82,0.96
Slovenia,SVN,EUR,Household visit,c_hh_visit,4.07,1.02
Solomon Islands,SLB,WPR,Household visit,c_hh_visit,5.51,1.38
Somalia,SOM,EMR,Household visit,c_hh_visit,2.3,0.58
South Africa,ZAF,AFR,Household visit,c_hh_visit,2.97,0.74
South Sudan,SSD,AFR,Household visit,c_hh_visit,2.97,0.74
Spain,ESP,EUR,Household visit,c_hh_visit,4.53,1.13
Sri Lanka,LKA,SEA,Household visit,c_hh_visit,1.82,0.46
Sudan,SDN,EMR,Household visit,c_hh_visit,1.12,0.28
Suriname,SUR,AMR,Household visit,c_hh_visit,2.38,0.6
Sweden,SWE,EUR,Household visit,c_hh_visit,6.06,1.52
Switzerland,CHE,EUR,Household visit,c_hh_visit,7.54,1.88
Syrian Arab Republic,SYR,EMR,Household visit,c_hh_visit,7.54,1.88
Tajikistan,TJK,EUR,Household visit,c_hh_visit,1.59,0.4
Thailand,THA,SEA,Household visit,c_hh_visit,2.62,0.65
Timor-Leste,TLS,SEA,Household visit,c_hh_visit,2.72,0.68
Togo,TGO,AFR,Household visit,c_hh_visit,2.63,0.66
Tokelau,TKL,WPR,Household visit,c_hh_visit,6.46,1.62
Tonga,TON,WPR,Household visit,c_hh_visit,4.75,1.19
Trinidad and Tobago,TTO,AMR,Household visit,c_hh_visit,4.11,1.03
Tunisia,TUN,EMR,Household visit,c_hh_visit,1.91,0.48
Turkey,TUR,EUR,Household visit,c_hh_visit,2.16,0.54
Turkmenistan,TKM,EUR,Household visit,c_hh_visit,2.96,0.74
Turks and Caicos Islands,TCA,AMR,Household visit,c_hh_visit,6.63,1.66
Tuvalu,TUV,WPR,Household visit,c_hh_visit,5.87,1.47
Uganda,UGA,AFR,Household visit,c_hh_visit,2.25,0.56
Ukraine,UKR,EUR,Household visit,c_hh_visit,1.77,0.44
United Arab Emirates,ARE,EMR,Household visit,c_hh_visit,3.97,0.99
United Kingdom of Great Britain and Northern Ireland,GBR,EUR,Household visit,c_hh_visit,5.64,1.41
United Republic of Tanzania,TZA,AFR,Household visit,c_hh_visit,2.61,0.65
United States of America,USA,AMR,Household visit,c_hh_visit,6.46,1.62
Uruguay,URY,AMR,Household visit,c_hh_visit,4.65,1.16
Uzbekistan,UZB,EUR,Household visit,c_hh_visit,1.52,0.38
Vanuatu,VUT,WPR,Household visit,c_hh_visit,6.11,1.53
Venezuela (Bolivarian Republic of),VEN,AMR,Household visit,c_hh_visit,6.11,1.53
Viet Nam,VNM,WPR,Household visit,c_hh_visit,2.09,0.52
Wallis and Futuna Islands,WLF,WPR,Household visit,c_hh_visit,6.46,1.62
Yemen,YEM,EMR,Household visit,c_hh_visit,3.56,0.89
Zambia,ZMB,AFR,Household visit,c_hh_visit,2.33,0.58
Zimbabwe,ZWE,AFR,Household visit,c_hh_visit,3.19,0.8
Afghanistan,AFG,EMR,HIV test,c_hiv_test,2.35,3.29
Albania,ALB,EUR,HIV test,c_hiv_test,3.76,5.27
Algeria,DZA,AFR,HIV test,c_hiv_test,3.31,4.63
American Samoa,ASM,WPR,HIV test,c_hiv_test,3.31,4.63
Andorra,AND,EUR,HIV test,c_hiv_test,3.31,4.63
Angola,AGO,AFR,HIV test,c_hiv_test,4.01,5.61
Anguilla,AIA,AMR,HIV test,c_hiv_test,56,23.75
Antigua and Barbuda,ATG,AMR,HIV test,c_hiv_test,7.48,10.47
Argentina,ARG,AMR,HIV test,c_hiv_test,4.3,6.02
Armenia,ARM,EUR,HIV test,c_hiv_test,3.24,4.54
Aruba,ABW,AMR,HIV test,c_hiv_test,7.55,10.56
Australia,AUS,WPR,HIV test,c_hiv_test,10.55,14.77
Austria,AUT,EUR,HIV test,c_hiv_test,8.55,11.96
Azerbaijan,AZE,EUR,HIV test,c_hiv_test,3.19,4.46
Bahamas,BHS,AMR,HIV test,c_hiv_test,50.39,21.37
Bahrain,BHR,EMR,HIV test,c_hiv_test,5,7
Bangladesh,BGD,SEA,HIV test,c_hiv_test,3.74,5.23
Barbados,BRB,AMR,HIV test,c_hiv_test,11.11,15.56
Belarus,BLR,EUR,HIV test,c_hiv_test,3.33,4.66
Belgium,BEL,EUR,HIV test,c_hiv_test,8.48,11.88
Belize,BLZ,AMR,HIV test,c_hiv_test,6.58,9.22
Benin,BEN,AFR,HIV test,c_hiv_test,3.55,4.97
Bermuda,BMU,AMR,HIV test,c_hiv_test,13.71,19.19
Bhutan,BTN,SEA,HIV test,c_hiv_test,2.68,3.76
Bolivia (Plurinational State of),BOL,AMR,HIV test,c_hiv_test,3.9,5.46
Bosnia and Herzegovina,BIH,EUR,HIV test,c_hiv_test,3.86,5.41
Botswana,BWA,AFR,HIV test,c_hiv_test,4.29,6.01
Brazil,BRA,AMR,HIV test,c_hiv_test,5.7,7.98
British Virgin Islands,VGB,AMR,HIV test,c_hiv_test,5.7,7.98
Brunei Darussalam,BRN,WPR,HIV test,c_hiv_test,4.79,6.71
Bulgaria,BGR,EUR,HIV test,c_hiv_test,4,5.6
Burkina Faso,BFA,AFR,HIV test,c_hiv_test,3.46,4.84
Burundi,BDI,AFR,HIV test,c_hiv_test,3.33,4.66
Cabo Verde,CPV,AFR,HIV test,c_hiv_test,4.81,6.74
Cambodia,KHM,WPR,HIV test,c_hiv_test,3.59,5.02
Cameroon,CMR,AFR,HIV test,c_hiv_test,3.96,5.55
Canada,CAN,AMR,HIV test,c_hiv_test,9.14,12.8
Cayman Islands,CYM,AMR,HIV test,c_hiv_test,11.73,16.42
Central African Republic,CAF,AFR,HIV test,c_hiv_test,4.74,6.64
Chad,TCD,AFR,HIV test,c_hiv_test,4.3,6.02
Chile,CHL,AMR,HIV test,c_hiv_test,5.68,7.95
China,CHN,WPR,HIV test,c_hiv_test,6.08,8.51
"China, Hong Kong SAR",HKG,WPR,HIV test,c_hiv_test,43.65,18.51
"China, Macao SAR",MAC,WPR,HIV test,c_hiv_test,36.38,15.43
Colombia,COL,AMR,HIV test,c_hiv_test,4.11,5.76
Comoros,COM,AFR,HIV test,c_hiv_test,4.29,6
Congo,COG,AFR,HIV test,c_hiv_test,5.94,8.32
Cook Islands,COK,WPR,HIV test,c_hiv_test,56,23.75
Costa Rica,CRI,AMR,HIV test,c_hiv_test,5.81,8.14
Côte d'Ivoire,CIV,AFR,HIV test,c_hiv_test,4.18,5.85
Croatia,HRV,EUR,HIV test,c_hiv_test,4.94,6.92
Cuba,CUB,AMR,HIV test,c_hiv_test,4.94,6.92
Curaçao,CUW,AMR,HIV test,c_hiv_test,43.13,18.29
Cyprus,CYP,EUR,HIV test,c_hiv_test,6.81,9.54
Czechia,CZE,EUR,HIV test,c_hiv_test,30.59,12.97
Democratic People's Republic of Korea,PRK,SEA,HIV test,c_hiv_test,6.98,9.77
Democratic Republic of the Congo,COD,AFR,HIV test,c_hiv_test,5.06,7.09
Denmark,DNK,EUR,HIV test,c_hiv_test,9.98,13.97
Djibouti,DJI,EMR,HIV test,c_hiv_test,5.91,8.27
Dominica,DMA,AMR,HIV test,c_hiv_test,6.52,9.12
Dominican Republic,DOM,AMR,HIV test,c_hiv_test,4.31,6.03
Ecuador,ECU,AMR,HIV test,c_hiv_test,5.21,7.29
Egypt,EGY,EMR,HIV test,c_hiv_test,2.46,3.44
El Salvador,SLV,AMR,HIV test,c_hiv_test,4.57,6.4
Equatorial Guinea,GNQ,AFR,HIV test,c_hiv_test,4.2,5.87
Eritrea,ERI,AFR,HIV test,c_hiv_test,3.63,5.08
Estonia,EST,EUR,HIV test,c_hiv_test,6.11,8.55
Eswatini,SWZ,AFR,HIV test,c_hiv_test,4.33,6.06
Ethiopia,ETH,AFR,HIV test,c_hiv_test,3.69,5.16
Fiji,FJI,WPR,HIV test,c_hiv_test,4.32,6.05
Finland,FIN,EUR,HIV test,c_hiv_test,9.45,13.23
France,FRA,EUR,HIV test,c_hiv_test,8.18,11.45
French Polynesia,PYF,WPR,HIV test,c_hiv_test,8.18,11.45
Gabon,GAB,AFR,HIV test,c_hiv_test,4.98,6.97
Gambia,GMB,AFR,HIV test,c_hiv_test,3.35,4.69
Georgia,GEO,EUR,HIV test,c_hiv_test,3,4.2
Germany,DEU,EUR,HIV test,c_hiv_test,8.31,11.64
Ghana,GHA,AFR,HIV test,c_hiv_test,3.9,5.45
Greece,GRC,EUR,HIV test,c_hiv_test,6.2,8.69
Greenland,GRL,EUR,HIV test,c_hiv_test,6.2,8.69
Grenada,GRD,AMR,HIV test,c_hiv_test,6.07,8.5
Guam,GUM,WPR,HIV test,c_hiv_test,6.07,8.5
Guatemala,GTM,AMR,HIV test,c_hiv_test,5.12,7.17
Guinea,GIN,AFR,HIV test,c_hiv_test,3.6,5.04
Guinea-Bissau,GNB,AFR,HIV test,c_hiv_test,3.36,4.7
Guyana,GUY,AMR,HIV test,c_hiv_test,4.84,6.77
Haiti,HTI,AMR,HIV test,c_hiv_test,4.19,5.87
Honduras,HND,AMR,HIV test,c_hiv_test,4.3,6.03
Hungary,HUN,EUR,HIV test,c_hiv_test,4.93,6.9
Iceland,ISL,EUR,HIV test,c_hiv_test,11.46,16.05
India,IND,SEA,HIV test,c_hiv_test,3,4.2
Indonesia,IDN,SEA,HIV test,c_hiv_test,3.35,4.69
Iran (Islamic Republic of),IRN,EMR,HIV test,c_hiv_test,4.02,5.63
Iraq,IRQ,EMR,HIV test,c_hiv_test,5.24,7.34
Ireland,IRL,EUR,HIV test,c_hiv_test,9.03,12.65
Israel,ISR,EUR,HIV test,c_hiv_test,10.39,14.55
Italy,ITA,EUR,HIV test,c_hiv_test,7.48,10.48
Jamaica,JAM,AMR,HIV test,c_hiv_test,5.48,7.67
Japan,JPN,WPR,HIV test,c_hiv_test,9.51,13.31
Jordan,JOR,EMR,HIV test,c_hiv_test,4.19,5.86
Kazakhstan,KAZ,EUR,HIV test,c_hiv_test,3.57,4.99
Kenya,KEN,AFR,HIV test,c_hiv_test,4.02,5.62
Kiribati,KIR,WPR,HIV test,c_hiv_test,6.98,9.77
Kuwait,KWT,EMR,HIV test,c_hiv_test,6.15,8.61
Kyrgyzstan,KGZ,EUR,HIV test,c_hiv_test,2.39,3.34
Lao People's Democratic Republic,LAO,WPR,HIV test,c_hiv_test,3.1,4.34
Latvia,LVA,EUR,HIV test,c_hiv_test,5.56,7.78
Lebanon,LBN,EMR,HIV test,c_hiv_test,4.99,6.99
Lesotho,LSO,AFR,HIV test,c_hiv_test,3.96,5.54
Liberia,LBR,AFR,HIV test,c_hiv_test,4.17,5.84
Libya,LBY,EMR,HIV test,c_hiv_test,4.85,6.79
Lithuania,LTU,EUR,HIV test,c_hiv_test,5.04,7.06
Luxembourg,LUX,EUR,HIV test,c_hiv_test,9.48,13.27
Madagascar,MDG,AFR,HIV test,c_hiv_test,3.04,4.26
Malawi,MWI,AFR,HIV test,c_hiv_test,3.72,5.21
Malaysia,MYS,WPR,HIV test,c_hiv_test,3.85,5.4
Maldives,MDV,SEA,HIV test,c_hiv_test,5.21,7.29
Mali,MLI,AFR,HIV test,c_hiv_test,3.63,5.08
Malta,MLT,EUR,HIV test,c_hiv_test,6.45,9.04
Marshall Islands,MHL,WPR,HIV test,c_hiv_test,9.51,13.31
Mauritania,MRT,AFR,HIV test,c_hiv_test,3.09,4.33
Mauritius,MUS,AFR,HIV test,c_hiv_test,4.65,6.51
Mexico,MEX,AMR,HIV test,c_hiv_test,4.86,6.81
Micronesia (Federated States of),FSM,WPR,HIV test,c_hiv_test,10.06,14.08
Monaco,MCO,EUR,HIV test,c_hiv_test,3.3,4.63
Mongolia,MNG,WPR,HIV test,c_hiv_test,3.37,4.72
Montenegro,MNE,EUR,HIV test,c_hiv_test,3.82,5.34
Montserrat,MSR,AMR,HIV test,c_hiv_test,10,14
Morocco,MAR,EMR,HIV test,c_hiv_test,4.1,5.75
Mozambique,MOZ,AFR,HIV test,c_hiv_test,3.76,5.27
Myanmar,MMR,SEA,HIV test,c_hiv_test,2.62,3.67
Namibia,NAM,AFR,HIV test,c_hiv_test,4.93,6.9
Nauru,NRU,WPR,HIV test,c_hiv_test,7.77,10.88
Nepal,NPL,SEA,HIV test,c_hiv_test,3,4.2
Netherlands,NLD,EUR,HIV test,c_hiv_test,8.79,12.31
New Caledonia,NCL,WPR,HIV test,c_hiv_test,8.79,12.31
New Zealand,NZL,WPR,HIV test,c_hiv_test,9.49,13.28
Nicaragua,NIC,AMR,HIV test,c_hiv_test,3.39,4.74
Niger,NER,AFR,HIV test,c_hiv_test,4.33,6.06
Nigeria,NGA,AFR,HIV test,c_hiv_test,4.16,5.82
Niue,NIU,WPR,HIV test,c_hiv_test,56,23.75
North Macedonia,MKD,EUR,HIV test,c_hiv_test,3.42,4.79
Northern Mariana Islands,MNP,WPR,HIV test,c_hiv_test,3.42,4.79
Norway,NOR,EUR,HIV test,c_hiv_test,11.09,15.53
Oman,OMN,EMR,HIV test,c_hiv_test,5.38,7.53
Pakistan,PAK,EMR,HIV test,c_hiv_test,2.62,3.67
Palau,PLW,WPR,HIV test,c_hiv_test,8.12,11.36
Panama,PAN,AMR,HIV test,c_hiv_test,4.79,6.7
Papua New Guinea,PNG,WPR,HIV test,c_hiv_test,6.22,8.71
Paraguay,PRY,AMR,HIV test,c_hiv_test,4.09,5.72
Peru,PER,AMR,HIV test,c_hiv_test,5.2,7.28
Philippines,PHL,WPR,HIV test,c_hiv_test,3.75,5.25
Poland,POL,EUR,HIV test,c_hiv_test,4.6,6.43
Portugal,PRT,EUR,HIV test,c_hiv_test,6.31,8.84
Puerto Rico,PRI,AMR,HIV test,c_hiv_test,9.12,12.77
Qatar,QAT,EMR,HIV test,c_hiv_test,6.6,9.24
Republic of Korea,KOR,WPR,HIV test,c_hiv_test,41.74,17.7
Republic of Moldova,MDA,EUR,HIV test,c_hiv_test,3.3,4.63
Romania,ROU,EUR,HIV test,c_hiv_test,3.99,5.59
Russian Federation,RUS,EUR,HIV test,c_hiv_test,3.94,5.51
Rwanda,RWA,AFR,HIV test,c_hiv_test,3.53,4.94
Saint Kitts and Nevis,KNA,AMR,HIV test,c_hiv_test,40.44,17.15
Saint Lucia,LCA,AMR,HIV test,c_hiv_test,7.2,10.08
Saint Vincent and the Grenadines,VCT,AMR,HIV test,c_hiv_test,5.72,8.01
Samoa,WSM,WPR,HIV test,c_hiv_test,6.35,8.89
San Marino,SMR,EUR,HIV test,c_hiv_test,8.05,11.27
Sao Tome and Principe,STP,AFR,HIV test,c_hiv_test,4.7,6.57
Saudi Arabia,SAU,EMR,HIV test,c_hiv_test,4.72,6.61
Senegal,SEN,AFR,HIV test,c_hiv_test,4.08,5.71
Serbia,SRB,EUR,HIV test,c_hiv_test,3.92,5.48
Seychelles,SYC,AFR,HIV test,c_hiv_test,5.72,8
Sierra Leone,SLE,AFR,HIV test,c_hiv_test,2.94,4.12
Singapore,SGP,WPR,HIV test,c_hiv_test,6.42,8.98
Sint Maarten (Dutch part),SXM,AMR,HIV test,c_hiv_test,8.05,11.28
Slovakia,SVK,EUR,HIV test,c_hiv_test,33.15,14.06
Slovenia,SVN,EUR,HIV test,c_hiv_test,6.3,8.82
Solomon Islands,SLB,WPR,HIV test,c_hiv_test,8.54,11.95
Somalia,SOM,EMR,HIV test,c_hiv_test,3.56,4.99
South Africa,ZAF,AFR,HIV test,c_hiv_test,4.6,6.45
South Sudan,SSD,AFR,HIV test,c_hiv_test,4.6,6.45
Spain,ESP,EUR,HIV test,c_hiv_test,7.01,9.81
